游戏名称,上架平台,游戏类型,上架时间,开发者,备注,访问链接
全民脑洞王,手机(平板可下载),休闲益智,2025/08/13,深圳市海氪斯科技有限公司,08/13新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hks.hxjydzz.hm.huawei
小马甜心派对,手机(平板可下载),休闲益智,2025/08/13,厦门叶秋原网络科技有限公司,08/13新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.akibastudio.xmtx.huawei
经典桌球挑战,手机(平板可下载),体育竞速,2025/08/12,南京爱拉风软件有限公司,08/13新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ilovephone.jdzqtz.hap.huawei
我的飞刀超6,手机(平板可下载),休闲益智,2025/08/12,南京爱拉风软件有限公司,08/13新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ilovephone.wdfdc6.hap.huawei
美发少女2,手机和平板,休闲益智,2025/08/12,厦门米乐萌科技有限公司,08/13新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.melemoe.meifasv2.huawei
脑洞专家,手机(平板可下载),休闲益智,2025/08/12,广州琛泰科技有限公司,08/13新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.game.ndzj.hm.huawei
一笔超人,手机(平板可下载),休闲益智,2025/08/12,广州琛泰科技有限公司,08/13新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.game.ybcr.hm.huawei
突突小分队,手机(平板可下载),休闲益智,2025/08/12,广州琛泰科技有限公司,08/13新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.game.ttxfd.hm.huawei
暗影忍者突袭,手机(平板可下载),休闲益智,2025/08/12,广州琛泰科技有限公司,08/13新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.game.ayrztx.hm.huawei
躺平赚大钱,手机(平板可下载),休闲益智,2025/08/12,广州琛泰科技有限公司,08/13新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.game.tpzdq.hm.huawei
卡皮巴拉快跑,手机(平板可下载),经营策略,2025/08/12,深圳市引力乐园科技有限公司,08/13新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ylly.kpblkp.hm.huawei
全民塔防2048,手机(平板可下载),经营策略,2025/08/12,深圳市引力乐园科技有限公司,08/13新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ylly.qmtf.hm.huawei
大明星安静书,手机(平板可下载),休闲益智,2025/08/12,安徽景岩信息技术有限公司,08/13新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.jw.dmxajs.app.huawei
全民跑跑看,手机(平板可下载),体育竞速,2025/08/12,南京米豆游信息科技有限公司,08/13新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.midouyou.qmppk.huawei
动物欢乐作坊,手机(平板可下载),休闲益智,2025/08/12,南京米豆游信息科技有限公司,08/13新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.midouyou.dwklzf.huawei
全民打瓜瓜,手机(平板可下载),休闲益智,2025/08/12,南京米豆游信息科技有限公司,08/13新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.midouyou.qmdgg.huawei
狂野地飙车,手机(平板可下载),体育竞速,2025/08/12,南京米豆游信息科技有限公司,08/13新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.midouyou.kydbc.huawei
飞机坦克大战Q版,手机(平板可下载),动作射击,2025/08/12,南京米豆游信息科技有限公司,08/13新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.midouyou.fjtkdzqb.huawei
成长的旅程,手机(平板可下载),休闲益智,2025/08/12,深圳市海氪斯科技有限公司,08/13新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hks.czdlc.hm.huawei
超凡台球,手机(平板可下载),体育竞速,2025/08/12,深圳市青狐科技有限公司,08/13新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.glfox.eightball.cn.huawei
球球摇摆大作战,手机(平板可下载),休闲益智,2025/08/12,深圳市益欣网络科技有限公司,08/13新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.xplay.qqybdzz.hm.huawei
全民星星消消乐,手机(平板可下载),休闲益智,2025/08/12,长沙乐之游科技有限公司,08/13新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.lzy.qmstar.hap.huawei
装满瓶子烧脑版,手机(平板可下载),休闲益智,2025/08/12,株洲花与叶网络科技有限公司,08/13新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hyy.zmpz.hap.huawei
成语大全益智力,手机(平板可下载),休闲益智,2025/08/12,株洲花与叶网络科技有限公司,08/13新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hyy.cydq.hap.huawei
消除星星单机游戏,手机(平板可下载),休闲益智,2025/08/12,株洲花与叶网络科技有限公司,08/13新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hyy.xcxxdj.hap.huawei
山海经贴纸书,手机(平板可下载),休闲益智,2025/08/12,深圳市指点天下科技有限公司,08/13新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.zdtx.shjtzs.app.huawei
有空一起来找茬,手机(平板可下载),休闲益智,2025/08/12,南京兄游信息科技有限公司,08/13新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.bthgame.ykyqlzc.huawei
火柴人疯狂单机,手机(平板可下载),休闲益智,2025/08/12,南京兄游信息科技有限公司,08/13新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.bthgame.hcrfkdj.huawei
跳一跳拼命踩,手机(平板可下载),角色扮演,2025/08/12,南京兄游信息科技有限公司,08/13新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.bthgame.tytpmchuawei
国风少女换装,手机(平板可下载),休闲益智,2025/08/12,厦门梅普露网络科技有限公司,08/12新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.maple.guofeng.huawei
美美安静书,手机(平板可下载),休闲益智,2025/08/12,厦门梅普露网络科技有限公司,08/12新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.maple.quietlybook.huawei
恐怖鬼魂逃生,手机和平板,休闲益智,2025/08/12,厦门市冰天信息科技有限公司,08/12新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmbthm.kbghts.huawei
扭蛋美少女,手机和平板,休闲益智,2025/08/12,厦门喵千层科技有限公司,08/12新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.melemoe.niudan.huawei
古代换装物语,手机和平板,休闲益智,2025/08/12,厦门喵千层科技有限公司,08/12新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.melemoe.gudaihuanzhuang.huawei
糖果公主欢乐度假,手机(平板可下载),休闲益智,2025/08/12,厦门有橘子网络科技有限公司,08/12新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.tangerinestudio.tggzdj.huawei
全民学渣,手机(平板可下载),休闲益智,2025/08/12,厦门有橘子网络科技有限公司,08/12新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.tangerinestudio.qmxz.huawei
捏脸大师,手机(平板可下载),休闲益智,2025/08/12,厦门叶秋原网络科技有限公司,08/12新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.akibastudio.nlds.huawei
脑洞解压找茬大师,手机(平板可下载),休闲益智,2025/08/11,厦门梅普露网络科技有限公司,08/12新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.maple.naodong.huawei
美美梦幻乐园,手机(平板可下载),休闲益智,2025/08/11,厦门梅普露网络科技有限公司,08/12新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.maple.meimei.huawei
露露迷你小镇,手机(平板可下载),休闲益智,2025/08/11,厦门梅普露网络科技有限公司,08/12新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.maple.lulumnxz.huawei
我爱织毛线,手机(平板可下载),休闲益智,2025/08/11,厦门梅普露网络科技有限公司,08/12新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.maple.lovezmx.huawei
烟花狂欢派对,手机和平板,休闲益智,2025/08/11,厦门市冰天信息科技有限公司,08/12新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmbthm.yhkhpd.huawei
深海模拟钓鱼,手机和平板,休闲益智,2025/08/11,厦门市冰天信息科技有限公司,08/12新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmbthm.shmndy.huawei
解开螺丝钉,手机(平板可下载),休闲益智,2025/08/11,深圳市时间坊贸易有限公司,08/12新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.sjf.jklsd.app.huawei
帮她批作业,手机(平板可下载),休闲益智,2025/08/11,深圳市时间坊贸易有限公司,08/12新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.sjf.btpzy.app.huawei
山海经暂停挑战,手机(平板可下载),休闲益智,2025/08/11,深圳市九歌互娱科技有限公司,08/12新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.jg.shjzttz.app.huawei
捕鱼侠3D,手机和平板,棋牌桌游,2025/08/11,郑州游戏啦网络科技有限公司,08/12新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.byx3d.yxl.hm
别逼我开跑,手机(平板可下载),休闲益智,2025/08/11,广州市嘉腾科技信息有限公司,08/12新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.game.bbwkp.hm.huawei
画线小菜鸡,手机(平板可下载),休闲益智,2025/08/11,广州市嘉腾科技信息有限公司,08/12新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.game.hxxcj.hm.huawei
美妆娃娃,手机和平板,休闲益智,2025/08/11,厦门喵千层科技有限公司,08/12新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.melemoe.mzww.huawei
一起来消除吧,手机(平板可下载),休闲益智,2025/08/11,深圳市森灵游科技有限公司,08/12新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.sly.yqlxcbhap.huawei
爱豆创造营,手机(平板可下载),休闲益智,2025/08/11,厦门喵卡龙网络科技有限公司,08/12新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.mkl.aidouczyhm.huawei
节拍盒大师,手机(平板可下载),休闲益智,2025/08/11,深圳市鸿鑫网络科技有限公司,08/12新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hxwl.jphdshap.huawei
塔防-多边防线,手机和平板,经营策略,2025/08/11,晋江运算未来网络科技有限公司,08/12新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.computingfuture.cn.guardian.huawei
方块解压馆,手机(平板可下载),休闲益智,2025/08/11,长沙齐游网络科技有限公司,08/12新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.qy.fkjyg.hap.huawei
奥特曼系列：对决,手机和平板,角色扮演,2025/08/11,上海扬讯计算机科技股份有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.metek.atm2.game.huawei
疯狂小鸡,手机(平板可下载),休闲益智,2025/08/11,厦门有橘子网络科技有限公司,08/11新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.tangerinestudio.fkxj.huawei
猫猫公主世界,手机(平板可下载),休闲益智,2025/08/11,厦门叶秋原网络科技有限公司,08/11新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.akiba.maoworld.huawei
米卡冰雪城堡,手机(平板可下载),休闲益智,2025/08/10,厦门有橘子网络科技有限公司,08/11新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.tangerinestudio.mkbx.huawei
爆梗大师,手机(平板可下载),休闲益智,2025/08/10,厦门有橘子网络科技有限公司,08/11新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.tangerinestudio2.bgds.huawei
快跑小猪,手机(平板可下载),休闲益智,2025/08/10,厦门有橘子网络科技有限公司,08/11新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.tangerinestudio.kpxz.huawei
互联网嘴替,手机(平板可下载),休闲益智,2025/08/10,厦门有橘子网络科技有限公司,08/11新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.tangerinestudio2.hlwzt.huawei
奇妙小人国,手机(平板可下载),休闲益智,2025/08/10,厦门叶秋原网络科技有限公司,08/11新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.akibastudio2.littlerg.huawei
地狱公主换装,手机(平板可下载),休闲益智,2025/08/10,厦门叶秋原网络科技有限公司,08/11新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.akibastudio.dygzhz.huawei
拯救卡皮巴拉,手机(平板可下载),休闲益智,2025/08/10,深圳市引力乐园科技有限公司,08/11新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ylly.zjkpbl.hm.huawei
全民倒一倒,手机(平板可下载),休闲益智,2025/08/10,长沙齐游网络科技有限公司,08/11新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.qy.qmdyd.hap.huawei
打扮小女友,手机(平板可下载),休闲益智,2025/08/09,合肥微乐信息技术有限公司,08/10新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.wl.dbxny.app.huawei
露露小镇生活,手机(平板可下载),休闲益智,2025/08/09,厦门有橘子网络科技有限公司,08/10新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.tangerinestudio.llxzsh.huawei
蛋总大冒险,手机(平板可下载),角色扮演,2025/08/09,厦门有橘子网络科技有限公司,08/10新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.tangerinestudio.dzdmx.huawei
精品乐清麻将,手机和平板,棋牌桌游,2025/08/09,乐清其乐无穷互联网科技有限公司,08/10新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.qp.jplqmj
奇妙猫猫小镇,手机(平板可下载),休闲益智,2025/08/09,厦门梅普露网络科技有限公司,08/10新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.maple.cutecat.huawei
亿万少女梦,手机(平板可下载),休闲益智,2025/08/09,厦门梅普露网络科技有限公司,08/10新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.maple.ywsnm.huawei
露露冒险小镇,手机(平板可下载),休闲益智,2025/08/09,厦门叶秋原网络科技有限公司,08/10新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.akibastudio.lulumxxz.huawei
暖暖换装,手机(平板可下载),休闲益智,2025/08/09,厦门叶秋原网络科技有限公司,08/10新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.akibastudio.nnhz.huawei
迷你公主小镇,手机(平板可下载),休闲益智,2025/08/09,厦门叶秋原网络科技有限公司,08/10新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.akibastudio.minigz.huawei
医生过家家,手机(平板可下载),休闲益智,2025/08/09,厦门叶秋原网络科技有限公司,08/10新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.akibastudio.ysgjj.huawei
装扮猫咪公主,手机(平板可下载),休闲益智,2025/08/09,厦门叶秋原网络科技有限公司,08/10新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.akibastudio.zbmmgz.huawei
奇妙人鱼乐园,手机(平板可下载),休闲益智,2025/08/09,厦门叶秋原网络科技有限公司,08/10新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.akibastudio.qmry.huawei
樱花小镇校园,手机(平板可下载),休闲益智,2025/08/09,厦门叶秋原网络科技有限公司,08/10新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.akibastudio.yhxzxy.huawei
洛米的奇幻冒险,手机(平板可下载),休闲益智,2025/08/09,厦门叶秋原网络科技有限公司,08/10新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.akibastudio.lmmx.huawei
脑洞也疯狂,手机(平板可下载),休闲益智,2025/08/09,深圳市益欣网络科技有限公司,08/10新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.xplay.ndyfk.hm.huawei
射手给点力,手机(平板可下载),休闲益智,2025/08/09,广州琛泰科技有限公司,08/10新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.game.ssgdl.hm.huawei
小小兵团,手机(平板可下载),休闲益智,2025/08/09,广州琛泰科技有限公司,08/10新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.game.xxbt.hm.huawei
有种你来玩,手机(平板可下载),休闲益智,2025/08/09,广州市嘉腾科技信息有限公司,08/10新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.game.yznlw.hm.huawei
吃货大消除,手机(平板可下载),休闲益智,2025/08/09,广州市嘉腾科技信息有限公司,08/10新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.game.chdxc.hm.huawei
你行你上,手机(平板可下载),休闲益智,2025/08/09,广州市嘉腾科技信息有限公司,08/10新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.game.nxns.hm.huawei
疯狂点点,手机(平板可下载),休闲益智,2025/08/09,广州市嘉腾科技信息有限公司,08/10新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.game.fkdd.hm.huawei
蛇蛇闯关,手机(平板可下载),休闲益智,2025/08/09,深圳市引力乐园科技有限公司,08/10新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ylly.sscg.hm.huawei
迷你超市大老板,手机(平板可下载),经营策略,2025/08/09,深圳市引力乐园科技有限公司,08/10新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ylly.mncsdlb.hm.huawei
小姐姐玩水枪,手机(平板可下载),动作射击,2025/08/09,深圳市海氪斯科技有限公司,08/10新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hks.xjjwsq.hm.huawei
战斗模拟,手机(平板可下载),动作射击,2025/08/09,深圳市海氪斯科技有限公司,08/10新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hks.zdmn.hm.huawei
拆弹模拟器,手机(平板可下载),休闲益智,2025/08/09,深圳市济川科技有限公司,08/10新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.jc.cdmnq.hm.huawei
熊猫梦幻乐园,手机和平板,休闲益智,2025/08/09,厦门喵千层科技有限公司,08/10新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.melemoe.xiongmaomh.huawei
超级英雄狂欢,手机和平板,休闲益智,2025/08/09,厦门市冰天信息科技有限公司,08/10新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmbthm.cjyxkh.huawei
模拟密室逃脱解谜,手机和平板,休闲益智,2025/08/09,厦门市冰天信息科技有限公司,08/10新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmbthm.mnmsttjm.huawei
脑洞解谜达人,手机和平板,休闲益智,2025/08/09,厦门市冰天信息科技有限公司,08/10新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmbthm.ndjmdr.huawei
合并一切模拟,手机和平板,休闲益智,2025/08/08,厦门市冰天信息科技有限公司,08/10新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmbthm.hbyqmn.huawei
帮他花掉十亿,手机(平板可下载),休闲益智,2025/08/08,深圳腾逸科技有限公司,08/09新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ty.bthdsy.app.huawei
旅猫世界,手机和平板,休闲益智,2025/08/08,厦门喵千层科技有限公司,08/09新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.melemoe.lvsj.huawei
波比的游玩时间4,手机和平板,休闲益智,2025/08/08,厦门市冰天信息科技有限公司,08/09新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmbthm.bbdywsj4.huawei
坦克冲突战争,手机和平板,休闲益智,2025/08/08,厦门市冰天信息科技有限公司,08/09新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmbthm.tkctzz.huawei
可爱捏脸研究所,手机和平板,休闲益智,2025/08/08,厦门市喵露丽科技有限公司,08/09新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.mkl.kanlhm.huawei
装扮头像定制：捏脸模拟器,手机和平板,休闲益智,2025/08/08,厦门喵千层科技有限公司,08/09新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.melemoe.zbtx.huawei
第六纪元,手机(平板可下载),动作射击,2025/08/08,深圳市海氪斯科技有限公司,08/09新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hks.dljy.hm.huawei
脑洞无限大,手机(平板可下载),休闲益智,2025/08/08,深圳市引力乐园科技有限公司,08/09新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.ylly.ndwxd.hm.huawei
失落的剑,手机和平板,休闲益智,2025/08/08,厦门市冰天信息科技有限公司,08/09新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.igame.xmbthm.sldj.huawei
都市破坏羊,手机和平板,休闲益智,2025/08/08,广州市融盛信息科技有限公司,08/09新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.game.dsphy.hm.huawei
梦幻优比：优比奇妙乐园,手机和平板,休闲益智,2025/08/08,厦门喵卡龙网络科技有限公司,08/09新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.mkl.mhybhm.huawei
怪谈太阳先生,手机(平板可下载),休闲益智,2025/08/08,深圳阳阳无限科技有限公司,08/09新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.yywx.gttyxshap.huawei
数独趣味闯关,手机和平板,休闲益智,2025/08/08,深圳云步互娱网络科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.yunbu.nonogram.hm.huawei
双人对抗赛,手机(平板可下载),休闲益智,2025/08/07,深圳市星梦游科技有限公司,08/08新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.xmy.srdks.hm.huawei
竞技麻将,手机(平板可下载),棋牌桌游,2025/08/07,中传互动（湖北）信息技术有限公司,08/08新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.jjmj.zuoxun.huawei
ai山海经全图鉴,手机(平板可下载),休闲益智,2025/08/07,深圳市掌上方舟科技有限公司,08/08新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.zsfz.aishjqtj.hm.huawei
象山麻将,手机、平板和电脑,棋牌桌游,2025/08/07,宁波市鄞州区百迅软件有限公司,08/08新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.nbgame.xsmjharmony.huawei
人鱼公主换装,手机(平板可下载),休闲益智,2025/08/07,厦门梅普露网络科技有限公司,08/08新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.maple.rygzhz.huawei
樱花公主小镇,手机(平板可下载),休闲益智,2025/08/07,厦门梅普露网络科技有限公司,08/08新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.maple.yhgzxz.huawei
照顾宝宝过家家,手机(平板可下载),休闲益智,2025/08/07,厦门梅普露网络科技有限公司,08/08新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.maple.babycare.huawei
一起解解压,手机和平板,休闲益智,2025/08/07,广州市融盛信息科技有限公司,08/08新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.game.yqjjy.hm.huawei
洞洞脑子吧,手机(平板可下载),休闲益智,2025/08/07,深圳市海氪斯科技有限公司,08/08新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hks.ddnzb.hm.huawei
我勒个豆,手机(平板可下载),休闲益智,2025/08/07,广州琛泰科技有限公司,08/08新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.game.wlgd.hm.huawei
不要上一起怂,手机(平板可下载),休闲益智,2025/08/07,广州市嘉腾科技信息有限公司,08/08新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.game.bysyqs.hm.huawei
脑洞消消消,手机(平板可下载),休闲益智,2025/08/07,广州市嘉腾科技信息有限公司,08/08新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.game.ndxxx.hm.huawei
奥拉星,手机和平板,休闲益智,2025/08/07,广州天梯网络科技有限公司,游戏中心预约-1,https://appgallery.huawei.com/app/detail?id=com.baitian.alx.alxsy.harmony88
怪物联萌,手机(平板可下载),经营策略,2025/08/06,上海恺英软件技术有限公司,08/07新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.kyruanjian.gwlm.hm.huawei
旅猫之森,手机和平板,休闲益智,2025/08/06,厦门喵千层科技有限公司,08/07新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.melemoe.lvmaozs.huawei
樱花小镇物语,手机(平板可下载),休闲益智,2025/08/06,厦门梅普露网络科技有限公司,08/07新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.maple.sakura.huawei
锤你咋啦,手机(平板可下载),动作射击,2025/08/06,深圳市济川科技有限公司,08/07新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.jc.cnzl.hm.huawei
功夫暗影激斗,手机(平板可下载),动作射击,2025/08/06,深圳市益欣网络科技有限公司,08/07新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.xplay.gfayjd.hm.huawei
城市终极冒险,手机和平板,休闲益智,2025/08/06,广州市融盛信息科技有限公司,08/07新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.game.cszjmx.hm.huawei
小小打工人,手机(平板可下载),休闲益智,2025/08/06,广州市嘉腾科技信息有限公司,08/07新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.game.xxdgr.hm.huawei
全面僵尸战争,手机(平板可下载),经营策略,2025/08/06,深圳市欧珀互动娱乐有限公司,08/06新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.oupo.qmjszz.hm.huawei
金牌脑洞大师,手机(平板可下载),休闲益智,2025/08/06,深圳市欧珀互动娱乐有限公司,08/06新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.oupo.jpndds.hm.huawei
诛仙2,手机和平板,角色扮演,2025/08/05,完美世界互娱（北京）科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.pwrd.zx2.hm.huawei
极限摩托飞车,手机(平板可下载),体育竞速,2025/08/05,深圳市海氪斯科技有限公司,08/06新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.hks.jxmtfc.hm.huawei
迷你盒子,手机(平板可下载),休闲益智,2025/08/05,厦门梅普露网络科技有限公司,08/06新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.maple.minibox.huawei
节奏达人连梗,手机(平板可下载),休闲益智,2025/08/05,天津市快乐游科技有限公司,08/06新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.kly.jzdrlghap.huawei
水果连连看单机游戏,手机(平板可下载),休闲益智,2025/08/05,长沙齐游网络科技有限公司,08/06新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.qy.sgllk.hap.huawei
艾拉公主扮家家酒,手机和平板,休闲益智,2025/08/05,厦门市喵露丽科技有限公司,08/06新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.mll.aljjjhm.huawei
不服那就干,手机(平板可下载),经营策略,2025/08/05,深圳市益欣网络科技有限公司,08/06新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.xplay.bfnjg.hm.huawei
迷你梦幻花园,手机(平板可下载),休闲益智,2025/08/05,厦门梅普露网络科技有限公司,08/06新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.maple.minihy.huawei
隔壁脑王,手机(平板可下载),休闲益智,2025/08/05,深圳市欧珀互动娱乐有限公司,08/06新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.oupo.gbnw.hm.huawei
有间美食馆,手机(平板可下载),经营策略,2025/08/04,深圳市星梦游科技有限公司,08/06新鲜游戏列表上新,https://appgallery.huawei.com/app/detail?id=com.xmy.yjmsg.hm.huawei
