应用名称,上架平台,应用类型,上架时间,开发者,备注,访问链接
物语识字,手机、平板和电脑,工具,2025/08/11,吴迪,08/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.hellowoody.myapplication
糖果记账,手机(平板可下载),金融理财,2025/08/11,唐大卫,08/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.tangguo.zhulu
信部落,手机(平板可下载),效率,2025/08/11,亚信科技（中国）有限公司,08/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.asiainfo.xinbuluo
水滴追踪,手机和平板,工具,2025/08/11,卢庆杰,08/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.example.shuidizhuizong
加班日记,手机(平板可下载),工具,2025/08/11,中软国际科技服务有限公司,08/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chinasoft.tools.api12.overtimediary
翻牌决定,手机(平板可下载),工具,2025/08/11,珠海市木霖科技有限公司,08/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chu.flopdecisionhos
简单提词器,手机(平板可下载),工具,2025/08/11,湖北梓铭科技有限公司,08/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.zhiming.xzmsimpletiphos
实时汇率宝,手机(平板可下载),工具,2025/08/11,辽宁奇思科技有限公司,08/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.qisi.ratenow
日语输入法,手机(平板可下载),工具,2025/08/11,厦门众思量科技有限公司,08/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.hos.japanese
杭合电子围栏,手机(平板可下载),工具,2025/08/11,贵州交建信息科技有限公司,08/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.gzjjxx.winelx.loacation.hanghe.manage
卡片背诵,手机(平板可下载),工具,2025/08/11,张越,08/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=zy.kapianbeisong.com
密码工坊,手机(平板可下载),工具,2025/08/11,吕浩,08/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.archer.passwordgenie
直接说计算器,手机(平板可下载),工具,2025/08/11,武汉安全家科技服务有限公司,08/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xia.xiaspeakcounterhos
宝宝身高随手记,手机(平板可下载),工具,2025/08/11,张颖旋,08/12新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.kathy.babyheight
交管12123,手机(平板可下载),生活服务,2025/08/11,公安部交通管理科学研究所,此前已上架手机端，此次新增平板端分发,https://appgallery.huawei.com/app/detail?id=com.tmri.app.harmony12123
铁路12306,手机、平板和电脑,出行导航,2025/08/11,中国铁道科学研究院集团有限公司,此前已上架手机端和电脑端，此次新增平板端分发,https://appgallery.huawei.com/app/detail?id=com.chinarailway.ticketingHM
UpDay,手机和平板,生活服务,2025/08/11,北京星辰未来信息科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.dbacalendar.hm
语弈,手机(平板可下载),教育,2025/08/11,林沛量,08/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.QZFZ.BBLQ.Yu_Yi
魅影HD,手机(平板可下载),拍摄美化,2025/08/11,深圳市趣望科技有限公司,08/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.quwang.meiyingxiangji
AI智能计算器,手机(平板可下载),工具,2025/08/11,深圳麦恋网络科技有限公司,08/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.mailian5.hmapp
去水印提取,手机和平板,工具,2025/08/10,南昌乐时科技有限公司,08/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=harmonylsqushuiyin.leshi168.com
太阳树,手机(平板可下载),工具,2025/08/10,深圳市阿科奇电子科技有限公司,08/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.akq.suntree
美发预约,手机(平板可下载),生活服务,2025/08/10,河北银合科技有限公司,08/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.inhehm.meifa
趣打印MAX,手机(平板可下载),工具,2025/08/10,贵阳泷恙科技有限公司,08/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=loya.aisi.shjii
双击桌面,手机(平板可下载),工具,2025/08/10,惠州市奕创科技有限公司,08/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.yichuang.ycdoubleclickhos
一键设置,手机(平板可下载),工具,2025/08/10,珠海昇落科技有限公司,08/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.shengluo.slonesethos
爱宠药业,手机、平板和电脑,商务,2025/08/09,德州京信药业有限公司,08/11新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.lianxiang.aichongyaoye
简单日记,手机(平板可下载),工具,2025/08/09,姚博文,群友 Aprilγ 提供,https://appgallery.huawei.com/app/detail?id=io.longhorn3683.diary.hmos
赶考兔专升本,手机、平板和电脑,教育,2025/08/09,广州云钛科技有限责任公司,08/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.gktoh.tz
实况live相机,手机(平板可下载),拍摄美化,2025/08/09,广州柳影科技有限公司,08/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.kiciom.jlcdo
视音频提取,手机(平板可下载),工具,2025/08/09,珠海昇落科技有限公司,08/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.luo.videoextractionhos
吃瓜班初级日语,手机(平板可下载),教育,2025/08/09,李家佳,08/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.666kfs.chigua_jp_primary
Q版头像,手机(平板可下载),艺术与设计,2025/08/09,郑州圈圈云信息服务有限公司,08/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.cutephoto.reselfhms
安稻护肤,手机和平板,运动健康,2025/08/09,深圳安道客网络科技有限公司,08/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.example.aydo
风云证件照,手机和平板,拍摄美化,2025/08/09,厦门风云共创网络科技有限公司,08/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.fengyun.app1
无损音乐播放器,手机(平板可下载),音乐,2025/08/09,郴州晨信科技有限公司,08/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.just_soft.local_music.hm
表情包搜索助手,手机(平板可下载),社交,2025/08/09,南京先攻科技有限公司,08/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.letwind.biaoqingbaozhushou
ZMmeeting,手机和平板,工具,2025/08/09,云辉玩游（海口）科技有限公司,08/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=guoica.uefbj.gjhv
PDF翻译器,手机(平板可下载),工具,2025/08/09,武汉安全家科技服务有限公司,08/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xia.xiapdfenghos
坚果WOL,手机、平板和电脑,工具,2025/08/09,甘肃鑫启航科技发展有限公司,08/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.nutpi.wakeonlan
一键识别图片,手机(平板可下载),工具,2025/08/09,湖北捷畅同辉科技有限公司,08/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.keyi.xjcsearchpnghos
味记,手机(平板可下载),工具,2025/08/09,王洪雨,08/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.huawei.kouwei
远程复制粘贴,手机(平板可下载),工具,2025/08/09,湖北捷畅同辉科技有限公司,08/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.jiechang.xjccopypastehos
划词翻译器,手机(平板可下载),工具,2025/08/09,珠海昇落科技有限公司,08/10新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.shengluo.sltranslatehos
老来健康,手机(平板可下载),生活服务,2025/08/09,湖南老来科技有限公司,群友 Aprilγ 提供,https://appgallery.huawei.com/app/detail?id=com.llw.tech
魔术绘画,手机(平板可下载),工具,2025/08/08,武汉海飞德晟文化科技有限公司,08/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.lin.xhlmagicdrawhos
离线图片文字识别,手机(平板可下载),工具,2025/08/08,湖北捷畅同辉科技有限公司,08/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.jiechang.xjcofflineocrhos
Gs Fit,手机(平板可下载),运动健康,2025/08/08,深圳市光速时代科技有限公司,08/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.gssd.cy.GsFit
望岳,手机(平板可下载),新闻,2025/08/08,泰安日报社,08/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.taian.wangyue
方位罗盘微定位,手机(平板可下载),工具,2025/08/08,成都北泽星科技有限公司,08/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.ps.icompasshm
文字转图片,手机(平板可下载),工具,2025/08/08,珠海市木霖科技有限公司,08/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chu.texttoimagehos
字体美化,手机(平板可下载),工具,2025/08/08,沈阳妙想科技有限公司,08/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.mx.fontmh
我爱崖州湾,手机(平板可下载),生活服务,2025/08/08,三亚亚洲湾数字科信有限公司,08/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.yzbstc.yazhoubay
音频音乐提取器,手机和平板,拍摄美化,2025/08/08,武汉网幂科技有限公司,08/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.lixiangdong.audioextrator.huawei.hm
英文阅读,手机和平板,教育,2025/08/08,北京爱语吧科技有限公司,08/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.iyuba.hmenglishnews
爱语背单词,手机和平板,教育,2025/08/08,北京爱语吧科技有限公司,08/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.ai.hmwords
五十音图,手机和平板,教育,2025/08/08,广州日语翻译有限公司,08/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=wushiyintu.huawei.com
日语一级听力,手机和平板,教育,2025/08/08,北京爱语吧科技有限公司,08/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.iyuba.hmJLPT1
CNN英语,手机和平板,教育,2025/08/08,北京爱语吧科技有限公司,08/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.iyuba.hmcnn
吉客云ERP进销存,手机和平板,商务,2025/08/08,杭州吉客云网络技术有限公司,08/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.jackyun.app
卫星准报天气,手机(平板可下载),生活服务,2025/08/08,杭州有树网络科技有限公司,08/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.gdneswiq.gtfvspp
余货宝,手机(平板可下载),购物,2025/08/08,成都余货宝科技有限公司,08/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.yhb.mall
飞客极速版,手机(平板可下载),旅游,2025/08/08,星际云（珠海）信息技术有限公司,08/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.ideal.flyerteacafes.hm
扫雷训练,手机和平板,休闲娱乐,2025/08/08,刘宁波,08/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.slxl.app
出奇体育,手机和平板,体育,2025/08/08,海南天海科技有限公司,08/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.huawei.cqty
国贸云平台,手机(平板可下载),商务,2025/08/08,深圳市国贸物业管理有限公司,08/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.fmob.client.haros.gmy
门窗设计大师,手机(平板可下载),商务,2025/08/08,极景门窗有限公司,08/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.viewmax.cloud
2FA,手机(平板可下载),工具,2025/08/08,沈磊,08/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=net.const.2fa
掌上护眼精灵,手机(平板可下载),工具,2025/08/08,深圳麦恋网络科技有限公司,08/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.mailian1.hmapp
礼物往来记录,手机(平板可下载),工具,2025/08/08,张越,08/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=zy.liwuwanglaijilu.com
虫虫反应测试,手机和平板,工具,2025/08/08,长沙奕欢互联网有限公司,08/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=chongchongfanyinceshi.qinglanzhuma.huawei
函数图像可视化,手机(平板可下载),工具,2025/08/08,上海品盛实业有限公司,08/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.ps.hfunc
配色,手机(平板可下载),工具,2025/08/08,张越,08/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=zy.peise.com
文件面对面分享,手机(平板可下载),工具,2025/08/08,湖北捷畅同辉科技有限公司,08/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.jiechang.xjcfilesharehos
亿节全能文件扫描,手机和平板,工具,2025/08/08,青岛易培教育科技有限公司,08/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.yipeinet.scannerhm
LebConnect,手机(平板可下载),工具,2025/08/08,覃朝斌,08/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.lebooo.ble
老师点名器,手机(平板可下载),工具,2025/08/08,珠海昇落科技有限公司,08/09新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.luo.teacherrollcallerhos
栗子课表,手机(平板可下载),工具,2025/08/07,邓榆麟,08/08新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.ixiaoxiang.lzkb
潮汐精灵,手机和平板,生活服务,2025/08/07,南京禄存网络科技有限公司,08/08新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.luyiyuntech.tidehm
魅影图片编辑,手机(平板可下载),拍摄美化,2025/08/07,深圳市趣望科技有限公司,08/08新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.quwang.meiyingxiangji
BBCE英语,手机和平板,教育,2025/08/07,山东爱语吧信息科技有限公司,08/08新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.ai.hmbbepro
三式网校,手机和平板,教育,2025/08/07,广州山水居科技有限公司,08/08新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.weimei168.sanshi
GG运动,手机(平板可下载),运动健康,2025/08/07,北京薪之火智能科技有限公司,08/08新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.example.ggsport
都市漫游者,手机和平板,出行导航,2025/08/07,广州冬天科技有限公司,08/08新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.wintertech.maprider
荟疗愈,手机和平板,运动健康,2025/08/07,成都卵石科技有限公司,08/08新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.pebblefan.hliaoyu
浮生日记,手机(平板可下载),商务,2025/08/07,武汉晟米信息技术有限公司,08/08新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.yamitech.fsrjhm
红娘,手机(平板可下载),社交,2025/08/07,深圳北上广娱乐文化有限公司,08/08新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.hncm.hongn
钢之梦,手机和电脑(平板可下载),工具,2025/08/07,长沙钢之梦电子商务有限公司,08/08新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.gzmsteel.myapplication
课消宝AI版,手机和平板,商务,2025/08/07,天津光标科技有限公司,08/08新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.fengyunzhujiao.kxbaihm
工多多,手机和平板,商务,2025/08/07,广州市星外信息科技有限公司,08/08新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=www.gongduoduo.com
星外工多多,手机和平板,商务,2025/08/07,广州市星外信息科技有限公司,08/08新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=xwgdd.gongduoduo.com
国盾密语,手机(平板可下载),工具,2025/08/07,山东量子科学技术研究院有限公司,08/08新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.quantum.quantumbudshmos
图艺百宝箱,手机(平板可下载),工具,2025/08/07,软通动力信息技术（集团）股份有限公司,08/08新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.isoftstone.tuyibaibaoxiang
墨香诗梦集,手机(平板可下载),工具,2025/08/07,深圳麦恋网络科技有限公司,08/08新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.mailian4.hmapp
时间戳转换器,手机(平板可下载),工具,2025/08/07,陈灿耿,08/08新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.learn.timestampconverter
和声查,手机、平板和电脑,工具,2025/08/07,李琛赟,08/08新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.tak916.HarmonyCheck
物品位置记录工具,手机(平板可下载),工具,2025/08/07,张越,08/08新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=zy.wupinweizhijilu.com
EDIFIER Connect,手机(平板可下载),工具,2025/08/07,深圳市漫步者科技股份有限公司,MeoW友 榴莲千层螺** 提供,https://appgallery.huawei.com/app/detail?id=com.edifier.echms
校园安心付,手机和平板,生活服务,2025/08/07,成都智汇安新科技有限公司,,https://appgallery.huawei.com/app/detail?id=com.zhihuianxin.hm.xyaxf
Q学友,手机(平板可下载),教育,2025/08/06,深圳市企鹅网络科技有限公司,08/07新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.qxueyou.learningHarmony
乐山商业银行,手机,金融理财,2025/08/06,乐山市商业银行股份有限公司,08/07新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.lsccb.mbank.hmos
CCMTV云管家,手机(平板可下载),教育,2025/08/06,上海凌立健康管理股份有限公司,08/07新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.linlic.ccmtv.hmyun
实时语言翻译官,手机(平板可下载),教育,2025/08/06,长沙晨语莱信息技术有限公司,08/07新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cylxx.pfyg.kmou
360云智连,手机(平板可下载),工具,2025/08/06,北京视觉世界科技有限公司,08/07新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.visualworld.ecologyoh
蛋糕英语,手机和平板,教育,2025/08/06,成都良师益友科技有限公司,08/07新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.baicizhan.bcz_cake
英语头条极速版,手机和平板,教育,2025/08/06,爱语言（北京）科技有限公司,08/07新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.iyuba.hmheadlinetop
药东东,手机和平板,医疗,2025/08/06,重庆医药（集团）股份有限公司,08/07新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.cqyy.ydd
小鹿节拍器,手机和平板,音乐,2025/08/06,南京小鹿爱乐科技有限公司,08/07新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xiaolu.jiepaios
迅微网,手机(平板可下载),商务,2025/08/06,福建迅腾电力能源管理有限公司,08/07新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xtioe.xunweiwang.h
租车员工端,手机(平板可下载),商务,2025/08/06,首汽租赁有限责任公司,08/07新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.izuche.staff.hmos
默然记账助手软件,手机和平板,金融理财,2025/08/06,广州默然智能科技有限公司,08/07新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.moran.bakekex
SDP,手机和平板,工具,2025/08/06,北京芯盾时代科技有限公司,08/07新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.trusfort.security.sdp.hw
联通小号,手机和平板,工具,2025/08/06,联通在线信息科技有限公司,08/07新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chinaunicom.wxh.hm
车帮仕胎压监测,手机和平板,商务,2025/08/06,沧州雄瑞电子制造厂,08/07新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=CheBangShiTPMS.XiongRui.package.huawei
翔明办公协同管理系统,手机和平板,商务,2025/08/06,贵州翔明科技有限责任公司,08/07新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.xmkj.hmapp
超级换算器,手机(平板可下载),工具,2025/08/06,珠海昇落科技有限公司,08/07新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.luo.superconverterhos
多功能简易计算器,手机和平板,工具,2025/08/06,贺斌,08/07新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.dird258.calculator
衣物尺寸记录工具,手机(平板可下载),工具,2025/08/06,张越,08/07新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=zy.yiwuchicunjilugongju.com
朋友圈盲盒,手机(平板可下载),工具,2025/08/06,珠海市木霖科技有限公司,08/07新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chu.friends_blindboxhos
星河工具盒,手机和平板,工具,2025/08/06,邱天宸,08/07新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=yylx.hny.qwq
尾号限行,手机和平板,工具,2025/08/06,北京才牛图科技有限公司,08/07新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=net.beido.hm.trafficrestriction
QQ同步助手,手机和平板,工具,2025/08/06,腾讯科技（深圳）有限公司,,https://appgallery.huawei.com/app/detail?id=com.tencent.qqpim.hos
小拉出行,手机和平板,出行导航,2025/08/06,四川神州行网约车服务有限公司,,https://appgallery.huawei.com/app/detail?id=com.xiaolachuxing.userhar
二狗英语,手机和平板,教育,2025/08/06,广州优钜达贸易有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.youjuda.ergouenglish
智慧用药提醒,手机(平板可下载),工具,2025/08/06,常伟,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.youlanjihua.MedicineCloud
云名谱,手机(平板可下载),工具,2025/08/06,软通动力信息技术（集团）股份有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.isoftstone.yunmingpu
MG Aide,手机和平板,工具,2025/08/06,乐浩文,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.shuishenhuole.mgaide
掌上福州,手机(平板可下载),新闻,2025/08/05,福州报业网络文化传播有限公司,,https://appgallery.huawei.com/app/detail?id=com.zsfz.activity.hw
布丁扫描,手机(平板可下载),工具,2025/08/05,广东天宸网络科技有限公司,vivo应用,https://appgallery.huawei.com/app/detail?id=com.wibo.bigbang.scanner
ABC医疗云,手机(平板可下载),医疗,2025/08/05,成都字节流科技有限公司,,https://appgallery.huawei.com/app/detail?id=cn.abcyun.clinic.hos.app
岁寒输入法,手机和平板,工具,2025/08/05,黄柏儒,,https://appgallery.huawei.com/app/detail?id=com.shime.version5
嗨秀直播,手机(平板可下载),影视与直播,2025/08/05,嗨秀（北京）科技有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.haixiu.ui.hmos
来音小提琴,手机和平板,音乐,2025/08/05,北京夕航科技有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.laiyin.violin
保安员超题库,手机(平板可下载),教育,2025/08/05,成都壹佰贰拾捌科技有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.ybesb.yebbayhm
创业天下,手机(平板可下载),社交,2025/08/05,湖南吉美生物科技发展有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.chuangyetianxia.cn
罗盘iCompass,手机(平板可下载),工具,2025/08/05,南京博西迈信息技术有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.xiyan.compasshm
Mnfans,手机(平板可下载),工具,2025/08/05,长沙晋博互联网信息服务有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=jibo.kabe.humww
悦心智行,手机(平板可下载),工具,2025/08/05,上海玖印实业发展有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.audi.hm.CarDVR
电能管理,手机和平板,商务,2025/08/05,安科瑞电气股份有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.acrel.harmony3000web
企业用电运维平台,手机和平板,商务,2025/08/05,安科瑞电气股份有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.acrel.harmonynextofficial
路掌通2.0,手机(平板可下载),商务,2025/08/05,福建智涵科技有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.fjzh.lzt
快拍水印相机,手机(平板可下载),拍摄美化,2025/08/05,长沙云之乐贸易有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.yunzhile66.kpsyxjhm
全能扫描Xscan,手机(平板可下载),工具,2025/08/05,成都铠顺科技有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.cdks.countsmwhm
小石管家,手机(平板可下载),工具,2025/08/05,深圳市小石科技有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.etclients.manager.hw
海江消防,手机(平板可下载),工具,2025/08/05,海江慧智（武汉）物联网科技有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.hjnet.app.harmons
MathLearning,手机(平板可下载),工具,2025/08/05,"Application & Managed Services, S.A. de C.V",08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.muranbord.burst_hue
快e贷,手机(平板可下载),金融理财,2025/08/05,海南深国融融资担保有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.xy.kedapp
e差旅,手机和平板,商务,2025/08/05,青岛易飞国际航空旅游服务股份有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.h.yeefei.trip
热量小助手,手机和平板,工具,2025/08/05,北京动念智能科技有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.dongnianzhineng.qrhw
贵州公务用车易,手机和平板,工具,2025/08/05,中科美络科技股份有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.hmfl.careasy.hmliupanshuigw
指尖实用库,手机(平板可下载),工具,2025/08/05,软通动力信息技术（集团）股份有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.isoftstone.zhijianshiyongku
往来记账薄,手机和平板,工具,2025/08/05,杭州秀漫网络科技有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.future.bookkeeping
手机分贝仪,手机(平板可下载),工具,2025/08/05,南京今日水印相机网络科技有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.jrsy.zaoyinhm
打牌记分工具,手机(平板可下载),工具,2025/08/05,张越,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=zy.dapaijifen.com
cMQTT,手机、平板和电脑,工具,2025/08/05,游顺,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.creasla.cmqtt
3D罗盘指南针,手机和平板,工具,2025/08/05,荔浦智胜科技有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.lpzs.sdznz
巨潮资讯,手机和平板,资讯,2025/08/04,深圳证券信息有限公司,群友 Aprilγ 提供,https://appgallery.huawei.com/app/detail?id=cn.com.cninfo.jchar
职前通,手机(平板可下载),教育,2025/08/04,深圳市职前通教育有限责任公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.zhiqiantong.hm
医链执业版,手机(平板可下载),医疗,2025/08/04,陕西医链区块链集团有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.yilian.yl_health_app_ohos
医链健康,手机(平板可下载),医疗,2025/08/04,陕西医链区块链集团有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.dapp.yl_patient_app_ohos
北外在职研,手机(平板可下载),教育,2025/08/04,北京外研在线数字科技有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=com.beiwaionline.graduate
室内实时温度计,手机(平板可下载),工具,2025/08/04,南京奇奥拉信息技术有限公司,08/06新鲜应用列表上新,https://appgallery.huawei.com/app/detail?id=cn.qiaola.therhm
